,class_label,prob_unstim,UMAP_1,UMAP_2
60,bin1,0.99999875,4.182548,-1.1427454
61,bin1,0.9999962,3.1185532,0.061344832
62,bin1,0.9999987,3.990156,-0.48774692
63,bin1,0.99999964,3.596698,0.62786186
64,bin1,0.9999973,3.2287333,-0.16430941
65,bin1,0.99999076,2.7210934,0.66812193
66,bin1,0.99999774,3.7348723,-0.94375
67,bin1,0.99999297,2.7757914,0.83876383
68,bin1,0.9999987,3.5000753,0.1328933
69,bin1,0.9999992,3.2073698,-0.61738753
70,bin1,0.9999901,2.9855182,-0.53633237
71,bin1,0.99999875,4.0409985,-1.3924035
72,bin1,0.9999995,3.045796,-0.37168542
73,bin1,0.99999994,3.7162187,0.86768115
74,bin1,0.999996,2.4551737,-1.4484794
75,bin1,0.99999905,2.4492948,0.34429535
76,bin1,0.99999344,2.4078746,0.56748927
77,bin1,0.99999076,3.2851038,-0.13796672
78,bin1,0.9999955,-0.32735804,-1.3661361
79,bin1,0.9999962,0.6400252,0.26908335
80,bin1,0.99999523,3.2774,0.10111335
81,bin1,0.9999995,3.103277,0.4883211
82,bin1,0.9999997,2.688646,1.008095
83,bin1,0.9999987,3.5868173,0.27985975
84,bin1,0.99999875,4.0820913,0.67234004
85,bin1,0.99999946,4.255811,-0.079168886
86,bin1,0.99999624,2.9028914,0.9340725
87,bin1,0.99999917,4.244894,-0.2822915
88,bin1,0.9999984,3.2387805,0.51971424
89,bin1,0.9999986,3.763457,0.13656285
90,bin1,0.99999994,4.2473316,0.82635915
91,bin1,0.99999815,2.9725273,0.6395594
92,bin1,0.9999974,3.8890011,-0.09614763
93,bin1,0.999999,4.38916,-0.05493912
94,bin1,0.9999956,2.6945815,0.8524196
95,bin1,0.99999905,2.881196,0.0804455
96,bin1,0.99999875,2.1887145,0.25743553
97,bin1,0.9999995,3.4400365,0.8724544
98,bin1,0.999999,3.159826,-0.8796916
99,bin1,0.99999076,3.5533779,0.38629448
100,bin1,0.9999923,2.8782952,0.34114873
101,bin1,0.99999875,3.744401,0.33879086
102,bin1,0.99999475,2.9260983,0.60361457
103,bin1,0.9999973,3.7737288,-1.020523
104,bin1,0.99999446,-0.07654866,1.6952602
105,bin1,0.9999942,2.6663413,0.87848043
106,bin1,0.9999942,2.0596452,0.36003652
107,bin1,0.9999997,3.613336,0.8041463
108,bin1,0.99999994,4.0285015,-0.11281541
109,bin1,0.9999962,-2.7525682,-3.440476
110,bin1,0.9999997,4.0580897,0.60068274
111,bin1,0.99999654,2.9401891,0.35887256
112,bin1,0.99999917,3.4293265,0.88538265
113,bin1,0.99999577,3.2309134,0.59447455
114,bin1,0.9999955,3.887781,0.012760669
115,bin1,0.9999956,3.003134,-1.0752952
116,bin1,0.9999943,3.0430193,0.28244016
117,bin1,0.9999975,3.7098708,0.05099991
118,bin1,0.99999213,3.5715747,-1.5779396
119,bin1,0.999996,3.6344998,-0.8209709
120,bin1,0.9999982,3.4348252,0.16401151
121,bin1,0.99999946,3.0400345,0.90607333
122,bin1,0.99999815,3.0063543,0.49691352
123,bin1,0.9999908,2.6900485,-0.6812118
124,bin1,0.9999997,3.0000799,1.0098767
125,bin1,0.9999982,4.4354978,-0.9032904
126,bin1,0.9999951,3.8910878,-1.0277622
127,bin1,0.9999987,3.059889,1.1558281
128,bin1,0.9999969,3.0467775,-1.1179341
129,bin1,0.9999997,4.0953574,0.8887348
130,bin1,0.99999946,3.1947143,0.134859
131,bin1,0.99999917,-3.1876874,-2.8438177
132,bin1,0.9999986,4.0830007,0.09493962
133,bin1,0.9999944,2.6534765,-0.37526098
134,bin1,0.99999875,-2.9387522,-2.7308593
135,bin1,0.999999,4.14378,-0.8324858
136,bin1,0.9999987,3.3843553,-0.793579
137,bin1,0.99999946,2.7815945,1.0202097
138,bin1,0.9999987,2.6997108,0.79969454
139,bin1,0.99999946,3.061226,0.72975385
140,bin1,0.9999939,3.1336527,-0.5716131
141,bin1,0.99999815,3.4898307,-0.23231587
142,bin1,0.9999926,2.978995,-0.18482473
143,bin1,0.9999962,3.066549,0.33065882
144,bin1,0.9999975,3.8264835,0.009501129
145,bin1,0.9999962,3.4792516,0.10608354
146,bin1,0.9999987,3.3220963,0.01666376
147,bin1,0.9999949,2.2725334,0.05511284
148,bin1,0.99999964,3.2186263,0.48563328
149,bin1,0.99999875,3.2594752,0.40514675
150,bin1,0.9999974,3.675647,0.5514829
151,bin1,0.9999962,3.1036363,0.84836364
152,bin1,0.99999917,2.546483,0.8411442
153,bin1,0.9999949,1.5125066,0.4908257
154,bin1,0.99999684,4.199278,-0.3312275
155,bin1,0.9999951,-2.8642454,-2.611644
156,bin1,0.99999774,3.7443044,0.7987652
157,bin1,0.99999905,3.5041406,0.6257986
158,bin1,0.99999493,3.3784633,-1.1032168
159,bin1,0.9999905,-1.6556492,-1.058161
160,bin1,0.99999267,3.0701072,-1.4394882
161,bin1,0.9999949,3.5764804,0.54142225
162,bin1,0.9999973,3.3602636,-1.1958504
163,bin1,0.9999987,3.9096034,-0.75223005
164,bin1,0.99999917,2.9174585,0.3523319
165,bin1,0.9999951,2.8630435,-0.29548502
166,bin1,0.99999964,4.2313137,0.5429566
167,bin1,0.99999684,3.54328,-0.3471813
168,bin1,0.99999136,-2.8921497,-2.51452
169,bin1,0.99999964,4.2042813,0.80169475
170,bin1,0.9999979,3.001373,-0.9832165
171,bin1,0.9999986,3.8256881,-0.8647114
172,bin1,0.99999523,2.844723,-0.0069619715
173,bin1,0.9999908,-0.683673,-3.6659536
174,bin1,0.9999921,3.5883155,-0.62782586
175,bin1,0.99999774,0.9395449,-1.0760608
176,bin1,0.9999992,3.4656599,-0.6035149
177,bin1,0.99999577,2.0323737,0.38529226
178,bin1,0.9999987,3.6141093,-0.040568203
179,bin1,0.99999523,0.52243257,-2.1734881
180,bin1,0.99999964,4.227783,0.6918956
181,bin1,0.9999984,3.0254014,-1.0624844
182,bin1,0.99999607,-2.731533,-4.2354383
183,bin1,0.99999946,2.2955508,0.74656045
184,bin1,0.9999956,2.385632,-0.6843964
185,bin1,0.9999957,3.5856144,-0.57486105
186,bin1,0.9999944,3.2733033,-0.37576553
187,bin1,0.99999624,2.160914,-0.7800683
188,bin1,0.99999994,4.5738635,0.6141764
189,bin1,0.9999921,2.6804206,-0.13722953
190,bin1,0.9999973,-2.8777606,-3.221601
191,bin1,0.99999994,3.054938,0.9681318
192,bin1,0.99999785,2.423823,0.3702188
193,bin1,0.9999984,3.7104678,-0.90035176
194,bin1,0.9999916,2.5273697,-0.09571585
195,bin1,0.9999923,1.5926874,-0.84277534
196,bin1,0.99999964,3.2908945,-0.10786083
197,bin1,0.9999973,3.7443388,-0.38090917
198,bin1,1.0,4.26687,1.2615061
199,bin1,0.9999979,2.5838552,-0.47575063
200,bin1,0.99999124,-1.9563845,-2.208198
201,bin1,0.99999994,3.7365222,0.7381636
202,bin1,0.99999386,2.5993977,-0.6808524
203,bin1,0.9999973,2.2591696,0.7340567
204,bin1,0.9999956,3.1748953,-0.021618873
205,bin1,0.99999344,-2.6672149,-2.639885
206,bin1,0.9999931,3.022748,0.59901094
207,bin1,0.99999183,3.2387173,-1.3854285
208,bin1,0.9999943,2.6594133,-1.4789714
209,bin1,0.99999315,2.8003078,-0.9827814
210,bin1,0.99999964,4.2542176,0.6519158
