gene	color	max_enrichment_bins
PLEKHA1	#e4eff9	1.7655769229975034
PLEKHA6	#e0ecf8	1.9265248190319104
PLEKHA7	#dae8f6	2.1830626891934637
PLEKHA8	#d9e8f5	2.1901726434013984
PLEKHB2	#f0f6fd	1.2829690621022238
PLEKHG1	#eaf3fb	1.5097391449972934
PLEKHG7	#deebf7	2.02857602812235
PLEKHJ1	#e3eef8	1.8233570497239329
PLEKHN1	#f5fafe	1.073601567872475
PLEKHS1	#f2f8fd	1.1906351346289317
PLET1	#e8f1fa	1.5951719400511915
PLIN1	#ebf3fb	1.4928283786414618
PLIN2	#f1f7fd	1.2681626959031886
PLLP	#f7fbff	1.0184023895368712
PLP2	#ddeaf7	2.06163984833755
PLS1	#e9f2fa	1.5857998850463637
PLS3	#e9f2fa	1.5851806090498874
PLSCR1	#eef5fc	1.401063232051221
PLSCR4	#f5f9fe	1.124739436888475
PLTP	#ebf3fb	1.4758903549063442
PLXNA2	#dae8f6	2.179701251488096
PLXNA4	#f5fafe	1.0736052660029505
PLXNB1	#d9e8f5	2.206704434734026
PLXNB3	#f0f6fd	1.2930687104502023
PLXND1	#f5f9fe	1.1120415995024062
PM20D1	#e0ecf8	1.9275178359459668
PMCH	#eef5fc	1.3607302257550402
PMP2	#d3e3f3	2.4773090651278302
PMPCB	#eff6fc	1.334461960789641
PMVK	#f7fbff	1.0012227859603935
PNCK	#eff6fc	1.3288542474846163
PNMA1	#ddeaf7	2.043319551848261
PNMA2	#add0e6	3.631098453956558
PNMA6A	#edf4fc	1.4367912473818087
PNMT	#eaf3fb	1.5305811734280717
PNOC	#e2edf8	1.8630786357640736
PNP	#f0f6fd	1.2833722817666808
PNPLA4	#f3f8fe	1.184090127462735
PNPLA6	#f6faff	1.0583068765803945
POC5	#e8f1fa	1.5983009003720996
PODXL2	#e0ecf8	1.9320123702038214
POLB	#e3eef9	1.812224995045315
POLD1	#c4daee	3.037383921958049
POLE2	#f2f7fd	1.229431148403246
POLE4	#f3f8fe	1.1862925398608446
POLG2	#d9e7f5	2.245588617039833
